1678185843.31844,1.67818584331844E+018,1675847131.06405,1.67584713106405E+018,1675847131.12148,1.67584713112148E+018
1678185843.49415,1.67818584349415E+018,1675847131.30548,1.67584713130548E+018,1675847131.33275,1.67584713133275E+018
1678185843.82057,1.67818584382057E+018,1675847131.63392,1.67584713163392E+018,1675847131.65277,1.67584713165277E+018
1678185843.95414,1.67818584395414E+018,1675847131.76354,1.67584713176354E+018,1675847131.78683,1.67584713178683E+018
1678185844.12273,1.67818584412273E+018,1675847131.92401,1.67584713192401E+018,1675847131.91239,1.67584713191239E+018
1678185844.45177,1.67818584445177E+018,1675847132.27758,1.67584713227758E+018,1675847132.28754,1.67584713228754E+018
1678185844.65316,1.67818584465316E+018,1675847132.47036,1.67584713247036E+018,1675847132.46757,1.67584713246757E+018
1678185844.87,1.67818584487E+018,1675847132.67953,1.67584713267953E+018,1675847132.67984,1.67584713267984E+018
1678185845.15492,1.67818584515492E+018,1675847132.8887,1.6758471328887E+018,1675847132.98048,1.67584713298048E+018
1678185845.32254,1.67818584532254E+018,1675847133.12925,1.67584713312925E+018,1675847133.16207,1.67584713316207E+018
1678185845.56808,1.67818584556808E+018,1675847133.35827,1.67584713335827E+018,1675847133.40557,1.67584713340557E+018
1678185845.88054,1.67818584588054E+018,1675847133.63136,1.67584713363136E+018,1675847133.70989,1.67584713370989E+018
1678185846.14272,1.67818584614272E+018,1675847133.90457,1.67584713390457E+018,1675847133.93872,1.67584713393872E+018
1678185846.41632,1.67818584641632E+018,1675847134.19682,1.67584713419682E+018,1675847134.20901,1.67584713420901E+018
1678185846.68672,1.67818584668672E+018,1675847134.48621,1.67584713448621E+018,1675847134.47775,1.67584713447775E+018
1678185847.03897,1.67818584703897E+018,1675847134.80761,1.67584713480761E+018,1675847134.84132,1.67584713484132E+018
1678185847.33012,1.67818584733011E+018,1675847135.12921,1.67584713512921E+018,1675847135.11805,1.67584713511805E+018
1678185847.65037,1.67818584765037E+018,1675847135.45212,1.67584713545212E+018,1675847135.45023,1.67584713545023E+018
1678185848.02216,1.67818584802216E+018,1675847135.80604,1.67584713580604E+018,1675847135.84681,1.67584713584681E+018
1678185848.38166,1.67818584838166E+018,1675847136.17769,1.67584713617769E+018,1675847136.16638,1.67584713616638E+018
1678185848.76284,1.67818584876284E+018,1675847136.58174,1.67584713658174E+018,1675847136.57891,1.67584713657891E+018
1678185849.21487,1.67818584921487E+018,1675847137.0155,1.6758471370155E+018,1675847137.01224,1.67584713701224E+018
1678185849.67587,1.67818584967587E+018,1675847137.49876,1.67584713749876E+018,1675847137.48546,1.67584713748546E+018
1678185850.20567,1.67818585020567E+018,1675847138.01557,1.67584713801557E+018,1675847138.03346,1.67584713803346E+018
1678185850.77443,1.67818585077443E+018,1675847138.57971,1.67584713857971E+018,1675847138.60349,1.67584713860349E+018
1678185851.36829,1.67818585136829E+018,1675847139.17419,1.67584713917419E+018,1675847139.17011,1.67584713917011E+018
1678185852.05781,1.67818585205781E+018,1675847139.83238,1.67584713983238E+018,1675847139.89062,1.67584713989062E+018
1678185852.79215,1.67818585279215E+018,1675847140.57222,1.67584714057222E+018,1675847140.61111,1.67584714061111E+018
1678185853.66585,1.67818585366584E+018,1675847141.44024,1.67584714144024E+018,1675847141.50386,1.67584714150386E+018
1678185854.62291,1.67818585462291E+018,1675847142.40536,1.67584714240536E+018,1675847142.44073,1.67584714244073E+018
1678185855.68562,1.67818585568562E+018,1675847143.49866,1.67584714349866E+018,1675847143.49633,1.67584714349633E+018
1678185856.94243,1.67818585694243E+018,1675847144.75352,1.67584714475352E+018,1675847144.77276,1.67584714477276E+018
1678185858.3852,1.6781858583852E+018,1675847146.16853,1.67584714616853E+018,1675847146.19001,1.67584714619001E+018
1678185859.9965,1.6781858599965E+018,1675847147.8094,1.6758471478094E+018,1675847147.81018,1.67584714781018E+018
1678185861.83497,1.67818586183497E+018,1675847149.64619,1.67584714964619E+018,1675847149.65656,1.67584714965656E+018
1678185863.90595,1.67818586390595E+018,1675847151.69422,1.67584715169422E+018,1675847151.73312,1.67584715173312E+018
1678185866.17644,1.67818586617644E+018,1675847153.99328,1.67584715399328E+018,1675847153.99893,1.67584715399893E+018
1678185868.85104,1.67818586885104E+018,1675847156.61338,1.67584715661338E+018,1675847156.67112,1.67584715667112E+018
1678185871.82722,1.67818587182722E+018,1675847159.62159,1.67584715962159E+018,1675847159.66603,1.67584715966603E+018
1678185875.25547,1.67818587525547E+018,1675847163.05148,1.67584716305148E+018,1675847163.04291,1.67584716304291E+018
1678185879.17974,1.67818587917974E+018,1675847166.99558,1.67584716699558E+018,1675847167.00821,1.67584716700821E+018
1678185883.7874,1.6781858837874E+018,1675847171.59759,1.67584717159759E+018,1675847171.61638,1.67584717161638E+018
